one,two,three,four,five,six,seven,eight,nine,ten,min,losses,draws,wins,WinRatio
0.0,1.0,11.0,2.0,2.0,23.0,3.0,3.0,33.0,22.0,0.0,695.0,30.0,2568.0,0.779836015791072
0.0,0.0,11.0,1.0,2.0,23.0,3.0,3.0,33.0,24.0,0.0,685.0,40.0,2568.0,0.779836015791072
0.0,1.0,11.0,2.0,2.0,23.0,3.0,3.0,33.0,22.0,0.0,695.0,30.0,2568.0,0.779836015791072
0.0,0.0,11.0,1.0,1.0,23.0,4.0,3.0,33.0,24.0,0.0,686.0,43.0,2564.0,0.7786213179471606
0.0,1.0,11.0,2.0,2.0,23.0,3.0,2.0,33.0,23.0,0.0,701.0,29.0,2563.0,0.7783176434861828
0.0,0.0,11.0,1.0,2.0,23.0,4.0,2.0,34.0,23.0,0.0,696.0,38.0,2559.0,0.7771029456422714
0.0,0.0,10.0,1.0,1.0,23.0,3.0,3.0,34.0,25.0,0.0,698.0,37.0,2558.0,0.7767992711812937
0.0,0.0,12.0,1.0,1.0,23.0,2.0,1.0,35.0,25.0,0.0,709.0,26.0,2558.0,0.7767992711812937
0.0,1.0,12.0,2.0,2.0,23.0,3.0,2.0,33.0,22.0,0.0,708.0,29.0,2556.0,0.776191922259338
0.0,0.0,12.0,1.0,1.0,23.0,3.0,3.0,33.0,24.0,0.0,692.0,46.0,2555.0,0.7758882477983602
0.0,0.0,12.0,1.0,1.0,23.0,3.0,3.0,33.0,24.0,0.0,692.0,46.0,2555.0,0.7758882477983602
0.0,0.0,12.0,1.0,1.0,23.0,3.0,3.0,33.0,24.0,0.0,692.0,46.0,2555.0,0.7758882477983602
0.0,0.0,12.0,1.0,1.0,23.0,3.0,3.0,33.0,24.0,0.0,692.0,46.0,2555.0,0.7758882477983602
0.0,0.0,12.0,1.0,2.0,23.0,3.0,3.0,33.0,23.0,0.0,705.0,37.0,2551.0,0.7746735499544488
0.0,1.0,11.0,2.0,2.0,23.0,3.0,3.0,34.0,21.0,0.0,714.0,28.0,2551.0,0.7746735499544488
0.0,0.0,12.0,1.0,2.0,23.0,3.0,3.0,33.0,23.0,0.0,705.0,37.0,2551.0,0.7746735499544488
0.0,0.0,12.0,1.0,2.0,23.0,3.0,3.0,33.0,23.0,0.0,705.0,37.0,2551.0,0.7746735499544488
0.0,0.0,12.0,1.0,1.0,22.0,3.0,3.0,33.0,25.0,0.0,715.0,36.0,2542.0,0.7719404798056484
0.0,1.0,11.0,2.0,2.0,22.0,3.0,2.0,33.0,24.0,0.0,723.0,33.0,2537.0,0.7704221075007592
0.0,1.0,11.0,1.0,1.0,22.0,3.0,3.0,34.0,24.0,0.0,727.0,29.0,2537.0,0.7704221075007592
0.0,1.0,12.0,2.0,2.0,23.0,3.0,1.0,34.0,22.0,0.0,719.0,38.0,2536.0,0.7701184330397813
0.0,0.0,10.0,2.0,3.0,22.0,3.0,3.0,32.0,25.0,0.0,733.0,27.0,2533.0,0.7692074096568479
0.0,1.0,1.0,15.0,18.0,1.0,3.0,2.0,35.0,24.0,0.0,758.0,15.0,2520.0,0.7652596416641361
0.0,0.0,13.0,1.0,1.0,24.0,1.0,1.0,34.0,25.0,0.0,760.0,22.0,2511.0,0.7625265715153355
0.0,0.0,13.0,1.0,1.0,24.0,1.0,1.0,34.0,25.0,0.0,760.0,22.0,2511.0,0.7625265715153355
0.0,0.0,8.0,11.0,13.0,23.0,3.0,3.0,6.0,33.0,0.0,749.0,34.0,2510.0,0.7622228970543578
0.0,0.0,8.0,13.0,13.0,22.0,3.0,3.0,6.0,32.0,0.0,757.0,27.0,2509.0,0.7619192225933799
0.0,0.0,12.0,1.0,1.0,23.0,0.0,4.0,34.0,25.0,0.0,743.0,47.0,2503.0,0.7600971758275129
0.0,0.0,13.0,2.0,1.0,23.0,1.0,0.0,35.0,25.0,0.0,776.0,23.0,2494.0,0.7573641056787124
0.0,0.0,12.0,0.0,1.0,22.0,1.0,1.0,32.0,31.0,0.0,778.0,31.0,2484.0,0.754327361068934
0.0,0.0,0.0,15.0,18.0,1.0,1.0,1.0,32.0,32.0,0.0,788.0,22.0,2483.0,0.7540236866079563
0.0,0.0,0.0,12.0,19.0,2.0,3.0,3.0,35.0,26.0,0.0,788.0,25.0,2480.0,0.7531126632250228
0.0,0.0,0.0,15.0,19.0,1.0,1.0,1.0,32.0,31.0,0.0,795.0,19.0,2479.0,0.7528089887640449
0.0,7.0,0.0,0.0,1.0,0.0,28.0,1.0,35.0,28.0,0.0,793.0,22.0,2478.0,0.7525053143030671
